text,label,notes
"I know Kobe probably did this to a lesser extent but why don't NBA teams study referee behaviors to see how they call games, like a scouting report but for referees.",hot_take,
Where does Jokics season rate all time from a statistical standpoint?,reaction,
"This is a sign you didn't understand what happened in the game and mostly for 6 games... If you think a single player locked up Jokic your understanding of basketball is not dissimilar to the guy up in this thread saying ""he is 7ft grab the ball and shot"" lol.",analysis,
[Bobby Marks] Christian Braun extension number will be at least 30M per,reaction,
"Shai ""Fraud MVP"" Gilgeous-Alexander exits a Game 7 blowout with: 35 PTS | 3 REB | 6 AST | 0 TO on 12/19 FG | 3/4 3PT | 8/9 FT",analysis,
Russell Westbrook finished with a -92 plus/minus in the Nuggets\Thunder series. Final stats: 9.9 PPG \ 34.8 FG% \ 2.4 AST \ 2.6 TOV,analysis,
I'm only counting this series.. yeah data is out there. Most of OKC's starters are actually negative on on/off in this series wheras every single Denver starters are double digit positive except MPJ. The numbers can't be any clearer. Thunder won because of their depth.,analysis,
"check the stats again then, dont talk out of your ass",reaction,
What is better; posterizing dunk or game winner buzzer beater?,reaction,
haha which one is wrong? so you'll admit SGA was better if all of the things I said are true?,hot_take,
"would you rather murray be a 7x all star whose numbers shrink in the postseason? he was very good during the most important time of his career to win the ring, that's what ultimately matters.",hot_take,
Just because the clippers suck doesn’t make it a shit product Nobody wants to see the same person/ team hoisting up trophies year after year after year,analysis,
[Murray] - Nuggets vs #1 seed all-time: - L vs 1985 Lakers - L vs 1987 Lakers - W vs 1994 SuperSonics - L vs 1995 Spurs - L vs 2004 Timberwolves - L vs 2008 Lakers - L vs 2009 Lakers - L vs 2020 Lakers - L vs 2025 Thunder,analysis,
"He said offensive GOAT to be fair, not the actual GOAT",reaction,
He might not have gone as hard in Game 4 if we were up 3-0.,hot_take,
Bill Simmons and Ryen Russilo discuss a Giannis for Evan Mobley straight up trade and agree it's fair and both teams would agree,hot_take,
Is it generally agreed that Jokic passes too much?,reaction,
"Free Throws Attempted in the 2025 Western Conference Semifinals: Shai Gilgeous-Alexander 63, Nikola Jokic 64",hot_take,
Did anyone else collect these NBA logo stickers in the 90’s?,reaction,
"Yup. That's because Stern understood that dynasties are great for sports: They attract casuals and bandwagoners, people love to root against them as much as they love to root for them, they create compelling narratives and rivalries, etc.",analysis,
Was SGA laughing after the game 3 loss one of the most coldest moments in NBA history?,hot_take,
Next hell want neck pillows while theyre sitting on the bench 🙄 okc played the same series you whiny lurch.,hot_take,
[DISCUSSION] Not enough is made of the FACT that this would be the first time in 12 years (since 2013) when the regular season MVP also wins finals MVP,hot_take,
[Trae Young] Hot take but not.. OKC fans are louder than Knick fans. Happy Sunday!,reaction,
"NBA title favorites according to ESPN BPI: 1. Thunder (62.9%), 2. Pacers (16.8%), 3. Knicks (12.9%), 4. Timberwolves (7.3%)",hot_take,
"I'd add that Caruso is good at using the other player's momentum. A few possessions Jokic tried to back him down but Caruso moved out of the way and pulled an ""¡Olé!"" and Jokic fell over because he was suddenly pushing back on air where he expected resistance.",analysis,
"[Scotto] The Sacramento Kings have added Bobby Jackson as an assistant coach to Doug Christie’s staff, agent Andy Miller of Klutch Sports told @hoopshype Jackson played six of his 12 NBA seasons in Sacramento, including five as Christie’s teammate, and was a Kings assistant coach twice.",hot_take,
Should the Nuggets trade Murray for Giannis ?,reaction,
Jokic attempted more FT this series than SGA,reaction,
"dude I am a certified fucking idiot but I swear to God I could come up with better rotations than Thibs. maybe that's just because I'm an idiot, but... man...",analysis,
Who already has a ring from remaining teams?,reaction,
"It’s insane to see man. They crying a guy half his size is fronting the post If they called fould this bozo wouldn’t post up ( elbow and forearm as clubs everytime ), woukd get as many rebounds ( can’t jump so pushes and elbows ), wouldn’t defend as well ( just fouls cos too slow n not vertical ). But apparently he gets a bad whistle cos carudo id allowed to front him in post",hot_take,
"[Highlights] All the possessions in the 2nd quarter of game 7 - Oklahoma City Thunder vs. Denver Nuggets, Western Semifinals, 2025 NBA Playoffs.",analysis,
"With the Nuggets loss, the NBA will officially have 7 different champions in 7 years. It is the first time in NBA history where 7 different teams have won the title in a 7 year span. The previous record was 6 different champions in a 6 year span.",analysis,
"Playoff series, preview, thunder versus wolves",reaction,
"I go back to what someone said about Harden. That he's so smart, he disappears in the big games when he knows he doesn't have it. Lebron, Harden and Jokic have all done it notably now. Like, if Caruso can mug you, you're not getting much done except hopefully get rid of the ball - to teammates who really can't play that well. It's not a good look, but it's not new. NBA has always looked bad this way, because the foul calls matter so much.",analysis,
Jamal Murray finishes Game 7 with: 13 PTS | 1 REB | 2 AST | 2 TO on 6/16 FG | 1/8 3PT | 0/0 FT,analysis,
Do you think the NBA should shorten the season to reduce injuries?,reaction,
"This might have been discussed elsewhere, idk if it's something they do regularly or not, but I found it a bit funny that OKC played ""Don't Stop Me Now"" with the line ""make a supersonic man out of you"" after their win vs Denver last night. Felt kind of like a light jab at the Seattle fanbase to me.",analysis,
"So, do the opposite then. If it's a ""magical pretense"" then, by all means, they should add more games. Make it a 100 games regular season, add more back to backs... they would make even more money, and we get to find out if it's a magical pretense or not.",analysis,
Only 2 of Jokic's top 10 games by Gamescore came against teams that ended above .500 this regular season. Only 6 of his top 25 by GameScore were against .500 or above teams,analysis,
"David Stern told Shaq games would last 4 hours if they called every foul that happened against him. How about teaching players how to play defense? Or call fouls, and if a whole team fouls out before halftime tough shit.",hot_take,
Jokic career playoff series record vs over-50-win teams: 0-6,reaction,
"Best answer I’ve ever heard to this question. He’s literally like we just lost a game seven, there is proof we can’t do it.",hot_take,
"Bucks def say no, and I can’t think of a worse star guard/big pairing than Mitchell/Giannis",hot_take,
The NBA should be thankful OKC won this series,reaction,
The 2010s east is more competitive than the expansion era of plumbers. It also doesn't take into account that he took one shot during the second half of yesterday's game 7. I guess he didn't want to win enough,hot_take,
"Nikola Jokic in the second half of game 7: 3 points on 1/1 FG%, 3 rebounds, 4 assists, 2 turnovers, -17 plus/minus",hot_take,
Giannis Jokic Shai Only because Tatum is hurt if not Shai wouldn’t even be top 3,analysis,
I love this. Make it an EX meter of sorts. 3pt fgs are a time-banked opportunity.,hot_take,
Warriors fans crying like this when Draymond green is in there team is wild,hot_take,
OKC was 19 games better than the Wolves this season. (Thunder in 5).,analysis,
"[Stein]The Bucks, league sources say, remain hopeful Giannis Antetokounmpo will decide against asking to be dealt after a third successive first-round playoff exit and choose instead to extend a career that has spanned 12 seasons as a Buck to date",hot_take,
"Kobe, AI, Pierce, Allen or SGA, Brunson, Luka, ANT",reaction,
"&gt; No one can prevent a freak accident like a bad landing, a desperate hustle play, players running into each other ect. Agreed, but you can prevent soft tissue injuries with adequate rest. Have you ever heard of a player tearing their hamstring in the offseason? No, because torn hamstrings are a result of fatigue weakening the muscles, making them prone to tearing during explosive actions.",analysis,
"'everything' like what? SGA beat him in all advanced stats for the series, shot better, turned it over less, as many assists, worlds better defense. All jokic did better was rebounding because he's a lot taller",analysis,
"However, I could probably infer that if someone with your same last name was referred to as your cousin and you answered in a way that seemed to imply familiarity that person is probably your cousin.",analysis,
I think star players probably would but they are a very tiny minority,hot_take,
Knicks vs Pistons and Celtics in the regular season: 1-7. Knicks vs Pistons and Celtics in the playoffs: 8-4,analysis,
"Nikola Jokic in the second half of game 7: 3 points on 1/1 FG, 3 rebounds, 4 assists, 2 turnovers, -17 plus/minus",hot_take,
"If either SGA, Tyrese Haliburton, or Ant wins a title this year, does that make them the GOAT of their respective franchises?",hot_take,
[Highlight] Nikola Jokic splashes the 3-pointer near the end of the 3rd quarter. That was his only field goal attempt in the 2nd half.,hot_take,
"On less than 3 shots a game, all wide open. If you watched the Nuggets at any time before the playoffs you would know to expect every defense to leave him open for the playoffs. He was hot and cold to get to that number and defenses do not respond to him shooting. Thats what spacing is. It isnt shooting percentage, its defensive attention.",hot_take,
"Nikola Jokic 2025 NBA Playoffs stats (14 games) - 26.2 PPG on 48.9/38.0/77.2 splits, 12.7 Rebounds, 8.0 Assists (3.9 TOV), 2.0 Steals, 0.9 Blocks, and a +/- of -8 in 40.2 minutes played",analysis,
NBA has to get their shit straight with what upgrades to Flagrant,reaction,
